"","Valid_Video","PCG","EVENT","PID","Coll","Gear_ID","Data.Source","GMT","Day","Month","Year","Latitude","Longitude","Stat_Depth","Samp_Depth","Samp_Dur","Station.Number","Station_Code","Pressure","Depth","Temp","Salinity","Oxygen","CHLA","PO4","NO2","NO3","Backscatter","PAR","Turbidity","Camera_A","Camera_A2","Camera_C","Camera_C2","Camera_CO","Camera_I","Camera_T","CameraBrandA","CameraBrandA2","CameraBrandC","CameraBrandC2","CameraBrandCO","CameraBrandI","CameraBrand","CameraModelA","CameraModelA2","CameraModelC","CameraModelC2","CameraModelCO","CameraModelI","CameraModel","Reader.InitialsA","Reader.InitialsA2","Date.ReadA","Date.ReadA2","Reviewer.InitialsA","Reviewer.InitialsA2","Date.ReviewedA","Date.ReviewedA2","No.Readable.FramesA","No.Readable.FramesA2","Video.ReadableA","Video.ReadableA2","Primary.ReasonA","Primary.ReasonA2","Camera_Dark","Camera_Bounces","Camera_Moves","Camera_Obstruction","Camera_Focus","Camera_Turbidity","Max_Biota_Density","Mean_Biota_Density","Biota_Height","Max_Substrate_Density","Mean_Substrate_Density","Substrate_Size","Substrate_Relief","Current_Direction","Current_Magnitude","MeanCountA","MeanCountA2","Abund01.A","Abund01.A2","Abund01","MaxN.A","MaxN.A2","MaxN","which.max"
"607","Yes","P05120034324","2012-5","P05",120034,"324","MARMAP","16:37",2,5,2012,32.34,-79.05,52,52,102,891,"Random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/12/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",50,35,"Max Height >0.5 m",15,8.5,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"609","Yes","P05120037324","2012-6","P05",120037,"324","MARMAP","19:43",2,5,2012,32.35,-79.03,58,58,88,908,"Random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/12/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",65,57.5,"Max Height >0.5 m",20,15,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Away","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"610","Yes","P05120038324","2012-6","P05",120038,"324","MARMAP","19:48",2,5,2012,32.34,-79.03,57,57,94,2304,"Random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/12/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",70,65,"Max Height >0.5 m",30,27.5,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Towards","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"611","Yes","P05120039324","2012-6","P05",120039,"324","MARMAP","19:53",2,5,2012,32.34,-79.03,56,56,98,906,"Random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/13/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",50,25,"Max Height >0.5 m",70,35,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"612","Yes","P05120040324","2012-6","P05",120040,"324","MARMAP","19:59",2,5,2012,32.34,-79.03,57,57,101,2305,"Random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Canon",NA,NA,NA,NA,NA,NA,"HF S200",NA,NA,NA,NA,NA,NA,"BZT",NA,"2/14/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",35,35,"Max Height >0.5 m",85,85,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Away","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"613","Yes","P05120042324","2012-7","P05",120042,"324","MARMAP","11:24",3,5,2012,32.46,-78.93,52,52,95,1092,"Random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/15/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",10,7.5,"Max height < 0.5 m",0,0,"No consolidated sediment","<0.3 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"614","Yes","P05140201324","2014-242","P05",140201,"324","MARMAP","11:10",22,6,2014,33.94,-76.51,42,42,90,2343,"Random",44.51,44.2,22.13,36.34,4.51,1.21,NA,NA,NA,NA,NA,1.33,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"GoPro",NA,NA,"HF S200",NA,NA,NA,"HD Hero3",NA,NA,"DMM",NA,"9/8/2014",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",70,50,"Max Height >0.5 m",35,30,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"615","Yes","P05140202324","2014-242","P05",140202,"324","MARMAP","11:15",22,6,2014,33.94,-76.51,41,41,91,2117,"Random",44.51,44.2,22.13,36.34,4.51,1.21,NA,NA,NA,NA,NA,1.33,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"GoPro",NA,NA,"HF S200",NA,NA,NA,"HD Hero3",NA,NA,"DMM",NA,"9/8/2014",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",15,12.5,"Max height < 0.5 m",15,10,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"616","Yes","P05140203324","2014-242","P05",140203,"324","MARMAP","11:19",22,6,2014,33.94,-76.52,42,42,92,2342,"Random",44.51,44.2,22.13,36.34,4.51,1.21,NA,NA,NA,NA,NA,1.33,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"GoPro",NA,NA,"HF S200",NA,NA,NA,"HD Hero3",NA,NA,"DMM",NA,"9/8/2014",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",15,15,"Max height < 0.5 m",0,0,"No consolidated sediment","<0.3 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"617","Yes","P05140204324","2014-242","P05",140204,"324","MARMAP","11:25",22,6,2014,33.94,-76.52,41,41,95,2253,"Random",44.51,44.2,22.13,36.34,4.51,1.21,NA,NA,NA,NA,NA,1.33,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"GoPro",NA,NA,"HF S200",NA,NA,NA,"HD Hero3",NA,NA,"DMM",NA,"9/11/2014",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",70,60,"Max Height >0.5 m",15,10,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"618","Yes","P05120047324","2012-7","P05",120047,"324","MARMAP","11:44",3,5,2012,32.44,-78.95,48,48,118,1039,"Random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/21/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",60,60,"Max Height >0.5 m",100,100,">50% Consolidated Sediment > 1 m in diameter",">1 m of Relief","Towards","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"619","Yes","P05120049324","2012-8","P05",120049,"324","MARMAP","15:35",3,5,2012,32.59,-79.15,34,34,86,1331,"Random",31.17,31.07,21.35,36.33,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/21/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",0,0,"No attached biota",0,0,"No consolidated sediment","<0.3 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"620","Yes","P05120050324","2012-8","P05",120050,"324","MARMAP","15:42",3,5,2012,32.59,-79.15,32,32,87,1392,"Random",31.17,31.07,21.35,36.33,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/21/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",0,0,"No attached biota",0,0,"No consolidated sediment","<0.3 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"621","Yes","P05120051324","2012-8","P05",120051,"324","MARMAP","15:45",3,5,2012,32.59,-79.13,32,32,90,1393,"Random",31.17,31.07,21.35,36.33,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/22/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",5,3,"Max height < 0.5 m",2,1,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief","Towards","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"623","Yes","P05120053324","2012-8","P05",120053,"324","MARMAP","15:52",3,5,2012,32.59,-79.15,33,33,101,1357,"Random",31.17,31.07,21.35,36.33,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/25/2013",NA,"DJB",NA,"10/23/2013",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",5,5,"Max height < 0.5 m",5,3,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"624","Yes","P05120055324","2012-9","P05",120055,"324","MARMAP","18:07",3,5,2012,32.6,-79.2,30,30,90,1398,"Random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/25/2013",NA,"DJB",NA,"10/23/2013",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",1,1,"Max height < 0.5 m",0,0,"No consolidated sediment","<0.3 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"625","Yes","P05120056324","2012-9","P05",120056,"324","MARMAP","18:12",3,5,2012,32.6,-79.22,30,30,94,1395,"Random",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/26/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",2,1.5,"Max height < 0.5 m",1,0.5,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief","Away","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"626","Yes","P05120058324","2012-10","P05",120058,"324","MARMAP","17:06",8,5,2012,32.5,-79.7,17,17,88,1213,"Random",16.23,16.69,22.85,36.22,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/26/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Fair",20,17.5,"Max Height >0.5 m",0,0,"No consolidated sediment","<0.3 m of Relief","Towards","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"627","Yes","P05120059324","2012-10","P05",120059,"324","MARMAP","17:11",8,5,2012,32.5,-79.7,17,17,88,1216,"Random",16.23,16.69,22.85,36.22,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/26/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Fair",15,12.5,"Max Height >0.5 m",0,0,"No consolidated sediment","<0.3 m of Relief","Away","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"628","Yes","P05120060324","2012-10","P05",120060,"324","MARMAP","17:14",8,5,2012,32.5,-79.68,16,16,90,1234,"Random",16.23,16.69,22.85,36.22,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/27/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Fair",10,10,"Max Height >0.5 m",0,0,"No consolidated sediment","<0.3 m of Relief","Away","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"629","Yes","P05120061324","2012-10","P05",120061,"324","MARMAP","17:20",8,5,2012,32.51,-79.7,16,16,91,1279,"Random",16.23,16.69,22.85,36.22,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/27/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Fair",15,12.5,"Max Height >0.5 m",2,1,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"630","Yes","P05120062324","2012-10","P05",120062,"324","MARMAP","17:27",8,5,2012,32.51,-79.68,17,17,92,1293,"Random",16.23,16.69,22.85,36.22,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/28/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Fair",20,17.5,"Max Height >0.5 m",5,3.5,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief","Away","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"631","Yes","P05120063324","2012-10","P05",120063,"324","MARMAP","17:31",8,5,2012,32.51,-79.68,17,17,96,1299,"Random",16.23,16.69,22.85,36.22,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/28/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Fair",15,12.5,"Max height < 0.5 m",0,0,"No consolidated sediment","<0.3 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"632","Yes","P05120065324","2012-11","P05",120065,"324","MARMAP","19:32",8,5,2012,32.49,-79.68,16,16,87,1181,"Random",12.44,12.65,22.9,36.17,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"2/28/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Fair",30,27.5,"Max Height >0.5 m",50,50,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"633","Yes","P05120066324","2012-11","P05",120066,"324","MARMAP","19:37",8,5,2012,32.49,-79.68,17,17,87,1187,"Random",12.44,12.65,22.9,36.17,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"3/4/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Fair",15,10,"Max Height >0.5 m",0,0,"No consolidated sediment","<0.3 m of Relief","Away","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"634","Yes","P05120067324","2012-11","P05",120067,"324","MARMAP","19:44",8,5,2012,32.49,-79.67,17,17,87,1167,"Random",12.44,12.65,22.9,36.17,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"3/4/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Fair",25,22.5,"Max Height >0.5 m",15,10,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief","Away","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"635","Yes","P05120068324","2012-11","P05",120068,"324","MARMAP","19:53",8,5,2012,32.5,-79.68,16,16,90,1197,"Random",12.44,12.65,22.9,36.17,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Canon",NA,NA,NA,NA,NA,NA,"HF S200",NA,NA,NA,NA,NA,NA,"BZT",NA,"3/6/2013",NA,"DJB",NA,"10/23/2013",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Fair",10,10,"Max Height >0.5 m",0,0,"No consolidated sediment","<0.3 m of Relief","Current Direction Unknown","Current Magnitude Unknown",0,NA,0,NA,0,0,NA,0,"A Camera"
"636","Yes","P05120069324","2012-11","P05",120069,"324","MARMAP","19:58",8,5,2012,32.5,-79.68,16,16,90,1194,"Random",12.44,12.65,22.9,36.17,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"3/7/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Fair",15,15,"Max Height >0.5 m",0,0,"No consolidated sediment","<0.3 m of Relief","Away","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"637","Yes","P05120070324","2012-11","P05",120070,"324","MARMAP","20:03",8,5,2012,32.51,-79.68,16,16,97,1254,"Random",12.44,12.65,22.9,36.17,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"3/7/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Fair",20,17.5,"Max Height >0.5 m",2,1,"> 50% consolidated sediment <1 m in diameter","<0.3 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"638","Yes","P05120072324","2012-12","P05",120072,"324","MARMAP","11:10",9,5,2012,32.35,-79.62,26,26,91,3088,"Random",23.51,23.84,22.64,36.37,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"3/7/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",5,3,"Max height < 0.5 m",5,3,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Away","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"639","Yes","P05120073324","2012-12","P05",120073,"324","MARMAP","11:14",9,5,2012,32.35,-79.63,27,27,95,3087,"NonRandom",23.51,23.84,22.64,36.37,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"DMG",NA,"4/5/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",15,10,"Max Height >0.5 m",20,10,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"640","Yes","P05120074324","2012-12","P05",120074,"324","MARMAP","11:19",9,5,2012,32.35,-79.62,26,26,98,3086,"Random",23.51,23.84,22.64,36.37,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"3/8/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",65,52.5,"Max Height >0.5 m",40,27.5,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Away","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"641","Yes","P05120075324","2012-12","P05",120075,"324","MARMAP","11:25",9,5,2012,32.35,-79.62,27,27,102,3085,"Random",23.51,23.84,22.64,36.37,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"3/11/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",70,55,"Max Height >0.5 m",75,65,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"642","Yes","P05120076324","2012-12","P05",120076,"324","MARMAP","11:29",9,5,2012,32.34,-79.62,27,27,102,3084,"Random",23.51,23.84,22.64,36.37,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"3/11/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",0,0,"No attached biota",0,0,"No consolidated sediment","<0.3 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"643","Yes","P05120077324","2012-12","P05",120077,"324","MARMAP","11:32",9,5,2012,32.34,-79.62,26,26,103,3083,"NonRandom",23.51,23.84,22.64,36.37,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"DMG",NA,"4/5/2013",NA,"BZT",NA,"11/5/2013",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",25,17.5,"Max Height >0.5 m",35,27.5,">50% Consolidated Sediment > 1 m in diameter","0.3 - 1 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"644","Yes","P05120079324","2012-13","P05",120079,"324","MARMAP","13:42",9,5,2012,32.35,-79.6,27,27,91,3082,"NonRandom",27.58,27.92,22.76,36.36,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"DMG",NA,"4/5/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",55,50,"Max Height >0.5 m",95,95,">50% Consolidated Sediment > 1 m in diameter",">1 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"645","Yes","P05120080324","2012-13","P05",120080,"324","MARMAP","13:45",9,5,2012,32.34,-79.6,28,28,93,3080,"Random",27.58,27.92,22.76,36.36,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"BZT",NA,"3/11/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",10,7.5,"Max Height >0.5 m",15,10,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief","Cross","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
"646","Yes","P05120081324","2012-13","P05",120081,"324","MARMAP","13:50",9,5,2012,32.34,-79.58,27,27,95,3081,"NonRandom",27.58,27.92,22.76,36.36,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Canon",NA,NA,NA,"Still",NA,NA,"HF S200",NA,NA,NA,"Still",NA,NA,"DMG",NA,"4/8/2013",NA,"",NA,"",NA,41,NA,"Yes",NA,"",NA,"Not Dark","No Bounce","Doesn't Move","No Obstruction","Focused","Clear",50,40,"Max Height >0.5 m",25,15,">50% Consolidated Sediment > 1 m in diameter","<0.3 m of Relief","Away","Weak",0,NA,0,NA,0,0,NA,0,"A Camera"
